Date,Open,High,Low,Close,Volume,Adj Close
6/12/2013,4.05,4.1,3.93,3.95,148800,3.95
6/11/2013,4.11,4.25,4,4,163700,4
6/10/2013,4.19,4.35,4.1,4.22,105600,4.22
6/7/2013,4.23,4.28,4.1,4.19,120100,4.19
6/6/2013,4.04,4.29,4.03,4.22,153700,4.22
6/5/2013,4.26,4.29,4.01,4.04,154500,4.04
6/4/2013,4.36,4.48,4.26,4.31,151400,4.31
6/3/2013,4.61,4.66,4.26,4.39,306500,4.39
5/31/2013,4.7,4.77,4.63,4.63,143100,4.63
5/30/2013,4.68,4.79,4.62,4.75,57600,4.75
5/29/2013,4.72,4.8,4.6,4.69,57600,4.69
5/28/2013,4.75,4.84,4.51,4.71,86800,4.71
5/24/2013,4.67,4.78,4.58,4.68,105800,4.68
5/23/2013,4.72,4.8,4.63,4.64,63900,4.64
5/22/2013,4.92,5.12,4.67,4.76,261600,4.76
5/21/2013,4.74,4.97,4.71,4.93,235100,4.93
5/20/2013,4.62,4.86,4.51,4.76,113100,4.76
5/17/2013,4.55,4.89,4.51,4.64,132900,4.64
5/16/2013,4.51,4.8,4.51,4.53,179600,4.53
5/15/2013,4.47,4.64,4.45,4.52,175000,4.52
5/14/2013,4.59,4.73,4.47,4.49,197700,4.49
5/13/2013,4.37,4.64,4.31,4.6,268000,4.6
5/10/2013,4.31,4.56,4.27,4.37,225000,4.37
5/9/2013,4.9,4.9,4.42,4.43,409900,4.43
5/8/2013,4.81,4.95,4.7,4.94,106700,4.94
5/7/2013,4.95,5,4.7,4.76,217900,4.76
5/6/2013,4.96,5,4.85,4.97,210900,4.97
5/3/2013,4.95,5,4.85,5,91800,5
5/2/2013,4.82,4.9,4.7,4.85,92000,4.85
5/1/2013,4.89,4.91,4.75,4.82,178200,4.82
4/30/2013,4.77,5.04,4.77,4.87,419500,4.87
4/29/2013,4.59,4.89,4.49,4.87,144600,4.87
4/26/2013,4.49,4.69,4.29,4.64,106900,4.64
4/25/2013,4.36,4.7,4.32,4.55,126500,4.55
4/24/2013,4.43,4.45,4.18,4.38,169000,4.38
4/23/2013,4.53,4.56,4.29,4.47,170400,4.47
4/22/2013,4.23,4.61,4.21,4.55,196600,4.55
4/19/2013,4.12,4.3,4.07,4.24,110000,4.24
4/18/2013,4.01,4.18,4,4.17,173300,4.17
4/17/2013,4.12,4.18,3.97,4.01,178800,4.01
4/16/2013,4,4.22,4,4.19,181300,4.19
4/15/2013,4.19,4.23,3.93,3.96,248700,3.96
4/12/2013,4.47,4.59,4.21,4.3,168200,4.3
4/11/2013,4.89,4.89,4.51,4.53,187900,4.53
4/10/2013,4.28,5.05,4.28,4.89,676400,4.89
4/9/2013,4.05,4.29,3.95,4.25,299900,4.25
4/8/2013,4.06,4.11,3.97,4.02,192200,4.02
4/5/2013,4.01,4.17,3.82,4.02,313600,4.02
4/4/2013,4.12,4.19,4.03,4.04,224300,4.04
4/3/2013,4.25,4.32,3.99,4.1,299400,4.1
4/2/2013,4.55,4.64,4.23,4.29,255200,4.29
4/1/2013,4.6,4.77,4.47,4.5,301500,4.5
3/28/2013,4.9,4.98,4.45,4.65,495900,4.65
3/27/2013,4.84,4.94,4.57,4.82,384200,4.82
3/26/2013,5.05,5.12,4.82,4.85,298400,4.85
3/25/2013,5.1,5.25,5,5.09,192800,5.09
3/22/2013,5.5,5.5,5.12,5.13,238200,5.13
3/21/2013,5.4,5.56,5.39,5.53,186900,5.53
3/20/2013,5.73,5.73,5.37,5.4,133000,5.4
3/19/2013,5.68,5.93,5.59,5.67,195100,5.67
3/18/2013,6.35,6.35,5.7,5.7,218700,5.7
3/15/2013,6.14,6.19,5.77,5.81,210300,5.81
3/14/2013,6.05,6.14,5.84,6.13,110900,6.13
3/13/2013,5.94,6.1,5.79,6.05,175300,6.05
3/12/2013,5.65,5.99,5.65,5.85,258200,5.85
