Date,Open,High,Low,Close,Adj Close,Volume
3/14/2012,6.2,6.2,6.2,6.2,6.2,0
3/15/2012,6.2,6.2,6.2,6.2,6.2,0
3/16/2012,6.2,6.2,6.2,6.2,6.2,0
3/19/2012,5.89,5.89,5.89,5.89,5.89,3000
3/20/2012,5.89,5.89,5.89,5.89,5.89,0
3/21/2012,5.89,5.89,5.89,5.89,5.89,0
3/22/2012,5.89,5.89,5.89,5.89,5.89,0
3/23/2012,5.89,5.89,5.89,5.89,5.89,0
3/26/2012,5.89,5.89,5.89,5.89,5.89,0
3/27/2012,5.89,5.89,5.89,5.89,5.89,0
3/28/2012,5.89,5.89,5.89,5.89,5.89,0
3/29/2012,5.89,5.89,5.89,5.89,5.89,0
3/30/2012,6,6,6,6,6,6000
4/2/2012,6,6,6,6,6,0
4/3/2012,6,6,6,6,6,0
4/4/2012,6,6,6,6,6,0
4/5/2012,6,6,6,6,6,0
4/9/2012,6,6,6,6,6,0
4/10/2012,6,6,6,6,6,0
4/11/2012,6,6,6,6,6,0
4/12/2012,6,6,6,6,6,0
4/13/2012,6,6,6,6,6,0
4/16/2012,6,6,6,6,6,0
4/17/2012,6,6,6,6,6,0
4/18/2012,6,6,6,6,6,0
4/19/2012,6,6,6,6,6,0
4/20/2012,6,6,6,6,6,0
4/23/2012,6,6,6,6,6,0
4/24/2012,6,6,6,6,6,0
4/25/2012,6,6,6,6,6,0
4/26/2012,6,6,6,6,6,0
4/27/2012,6,6,6,6,6,0
4/30/2012,6,6,6,6,6,0
5/1/2012,6,6,6,6,6,0
5/2/2012,6,6,6,6,6,0
5/3/2012,5.64,5.64,5.61,5.61,5.61,4700
5/4/2012,5.61,5.61,5.61,5.61,5.61,0
5/7/2012,5.61,5.61,5.61,5.61,5.61,0
5/8/2012,5.61,5.61,5.61,5.61,5.61,0
5/9/2012,5.61,5.61,5.61,5.61,5.61,0
5/10/2012,5.61,5.61,5.61,5.61,5.61,0
5/11/2012,5.61,5.61,5.61,5.61,5.61,0
5/14/2012,5.61,5.61,5.61,5.61,5.61,0
5/15/2012,5.61,5.61,5.61,5.61,5.61,0
5/16/2012,4.6,5.05,4.6,5.05,5.05,1300
5/17/2012,5.05,5.05,5.05,5.05,5.05,0
5/18/2012,5.05,5.05,5.05,5.05,5.05,0
5/21/2012,5.05,5.05,5.05,5.05,5.05,0
5/22/2012,5.05,5.05,5.05,5.05,5.05,0
5/23/2012,5.05,5.05,5.05,5.05,5.05,0
5/24/2012,5.05,5.05,5.05,5.05,5.05,0
5/25/2012,5.05,5.05,5.05,5.05,5.05,0
5/29/2012,5.05,5.05,5.05,5.05,5.05,0
5/30/2012,5.05,5.05,5.05,5.05,5.05,0
5/31/2012,5.05,5.05,5.05,5.05,5.05,0
6/1/2012,5.05,5.05,5.05,5.05,5.05,0
6/4/2012,5.05,5.05,5.05,5.05,5.05,0
6/5/2012,5.05,5.05,5.05,5.05,5.05,0
6/6/2012,5.05,5.05,5.05,5.05,5.05,0
6/7/2012,5.05,5.05,5.05,5.05,5.05,0
6/8/2012,5.05,5.05,5.05,5.05,5.05,0
6/11/2012,5.05,5.05,5.05,5.05,5.05,0
6/12/2012,5.05,5.05,5.05,5.05,5.05,0
6/13/2012,4.45,4.45,4.45,4.45,4.45,2500
6/14/2012,4.45,4.45,4.45,4.45,4.45,0
6/15/2012,4.45,4.45,4.45,4.45,4.45,0
6/18/2012,4.45,4.45,4.45,4.45,4.45,0
6/19/2012,4.45,4.45,4.45,4.45,4.45,0
6/20/2012,4.45,4.45,4.45,4.45,4.45,0
6/21/2012,4.45,4.45,4.45,4.45,4.45,0
6/22/2012,4.45,4.45,4.45,4.45,4.45,0
6/25/2012,4.45,4.45,4.45,4.45,4.45,0
6/26/2012,4.45,4.45,4.45,4.45,4.45,0
6/27/2012,4.45,4.45,4.45,4.45,4.45,0
6/28/2012,4.45,4.45,4.45,4.45,4.45,0
6/29/2012,4.45,4.45,4.45,4.45,4.45,0
7/2/2012,4.45,4.45,4.45,4.45,4.45,0
7/3/2012,4.45,4.45,4.45,4.45,4.45,0
7/5/2012,4.45,4.45,4.45,4.45,4.45,0
7/6/2012,4.45,4.45,4.45,4.45,4.45,0
7/9/2012,4.45,4.45,4.45,4.45,4.45,0
7/10/2012,4.45,4.45,4.45,4.45,4.45,0
7/11/2012,4.45,4.45,4.45,4.45,4.45,0
7/12/2012,4.45,4.45,4.45,4.45,4.45,0
7/13/2012,4.45,4.45,4.45,4.45,4.45,0
7/16/2012,4.45,4.45,4.45,4.45,4.45,0
7/17/2012,4.45,4.45,4.45,4.45,4.45,0
7/18/2012,4.45,4.45,4.45,4.45,4.45,0
7/19/2012,4.45,4.45,4.45,4.45,4.45,0
7/20/2012,4.45,4.45,4.45,4.45,4.45,0
7/23/2012,4.45,4.45,4.45,4.45,4.45,0
7/24/2012,4.45,4.45,4.45,4.45,4.45,0
7/25/2012,4.45,4.45,4.45,4.45,4.45,0
7/26/2012,4.45,4.45,4.45,4.45,4.45,0
7/27/2012,4.45,4.45,4.45,4.45,4.45,0
7/30/2012,4.45,4.45,4.45,4.45,4.45,0
7/31/2012,4.45,4.45,4.45,4.45,4.45,0
8/1/2012,4.45,4.45,4.45,4.45,4.45,0
8/2/2012,4.45,4.45,4.45,4.45,4.45,0
8/3/2012,4.45,4.45,4.45,4.45,4.45,0
8/6/2012,4.45,4.45,4.45,4.45,4.45,0
8/7/2012,4.45,4.45,4.45,4.45,4.45,0
8/8/2012,4.45,4.45,4.45,4.45,4.45,0
8/9/2012,4.45,4.45,4.45,4.45,4.45,0
8/10/2012,4.45,4.45,4.45,4.45,4.45,0
8/13/2012,4.45,4.45,4.45,4.45,4.45,0
8/14/2012,4.45,4.45,4.45,4.45,4.45,0
8/15/2012,4.45,4.45,4.45,4.45,4.45,0
8/16/2012,4.45,4.45,4.45,4.45,4.45,0
8/17/2012,4.45,4.45,4.45,4.45,4.45,0
8/20/2012,4.45,4.45,4.45,4.45,4.45,0
8/21/2012,4.45,4.45,4.45,4.45,4.45,0
8/22/2012,4.45,4.45,4.45,4.45,4.45,0
8/23/2012,4.45,4.45,4.45,4.45,4.45,0
8/24/2012,4.45,4.45,4.45,4.45,4.45,0
8/27/2012,4.45,4.45,4.45,4.45,4.45,0
8/28/2012,4.45,4.45,4.45,4.45,4.45,0
8/29/2012,4.45,4.45,4.45,4.45,4.45,0
8/30/2012,4.45,4.45,4.45,4.45,4.45,0
8/31/2012,4.45,4.45,4.45,4.45,4.45,0
9/4/2012,4.45,4.45,4.45,4.45,4.45,0
9/5/2012,4.45,4.45,4.45,4.45,4.45,0
9/6/2012,4.45,4.45,4.45,4.45,4.45,0
9/7/2012,4.45,4.45,4.45,4.45,4.45,0
9/10/2012,4.45,4.45,4.45,4.45,4.45,0
9/11/2012,4.45,4.45,4.45,4.45,4.45,0
9/12/2012,4.45,4.45,4.45,4.45,4.45,0
9/13/2012,4.45,4.45,4.45,4.45,4.45,0
9/14/2012,4.45,4.45,4.45,4.45,4.45,0
9/17/2012,4.45,4.45,4.45,4.45,4.45,0
9/18/2012,4.45,4.45,4.45,4.45,4.45,0
9/19/2012,4.45,4.45,4.45,4.45,4.45,0
9/20/2012,4.45,4.45,4.45,4.45,4.45,0
9/21/2012,4.45,4.45,4.45,4.45,4.45,0
9/24/2012,4.45,4.45,4.45,4.45,4.45,0
9/25/2012,4.45,4.45,4.45,4.45,4.45,0
9/26/2012,4.45,4.45,4.45,4.45,4.45,0
9/27/2012,4.45,4.45,4.45,4.45,4.45,0
9/28/2012,4.45,4.45,4.45,4.45,4.45,0
10/1/2012,4.45,4.45,4.45,4.45,4.45,0
10/2/2012,6.68,6.88,6.63,6.63,6.63,14500
10/3/2012,6.63,6.63,6.63,6.63,6.63,0
10/4/2012,6.63,6.63,6.63,6.63,6.63,0
10/5/2012,6.63,6.63,6.63,6.63,6.63,0
10/8/2012,6.63,6.63,6.63,6.63,6.63,0
10/9/2012,6.63,6.63,6.63,6.63,6.63,0
10/10/2012,6.63,6.63,6.63,6.63,6.63,0
10/11/2012,6.63,6.63,6.63,6.63,6.63,0
10/12/2012,6.63,6.63,6.63,6.63,6.63,0
10/15/2012,6.63,6.63,6.63,6.63,6.63,0
10/16/2012,6.63,6.63,6.63,6.63,6.63,0
10/17/2012,6.63,6.63,6.63,6.63,6.63,0
10/18/2012,6.63,6.63,6.63,6.63,6.63,0
10/19/2012,6.57,6.57,6.57,6.57,6.57,200
10/22/2012,6.57,6.57,6.57,6.57,6.57,0
10/23/2012,6.57,6.57,6.57,6.57,6.57,0
10/24/2012,6.57,6.57,6.57,6.57,6.57,0
10/25/2012,6.2,6.2,6.2,6.2,6.2,1900
10/26/2012,6.2,6.2,6.2,6.2,6.2,0
10/31/2012,6.2,6.2,6.2,6.2,6.2,0
11/1/2012,6.2,6.2,6.2,6.2,6.2,0
11/2/2012,6.2,6.2,6.2,6.2,6.2,0
11/5/2012,6.2,6.2,6.2,6.2,6.2,0
11/6/2012,6.2,6.2,6.2,6.2,6.2,0
11/7/2012,6.2,6.2,6.2,6.2,6.2,0
11/8/2012,6.2,6.2,6.2,6.2,6.2,0
11/9/2012,6.2,6.2,6.2,6.2,6.2,0
11/12/2012,6.2,6.2,6.2,6.2,6.2,0
11/13/2012,6.2,6.2,6.2,6.2,6.2,0
11/14/2012,6.2,6.2,6.2,6.2,6.2,0
11/15/2012,6.2,6.2,6.2,6.2,6.2,0
11/16/2012,6.2,6.2,6.2,6.2,6.2,0
11/19/2012,6.2,6.2,6.2,6.2,6.2,0
11/20/2012,6.2,6.2,6.2,6.2,6.2,0
11/21/2012,6.2,6.2,6.2,6.2,6.2,0
11/23/2012,6.2,6.2,6.2,6.2,6.2,0
11/26/2012,6.2,6.2,6.2,6.2,6.2,0
11/27/2012,6.2,6.2,6.2,6.2,6.2,0
11/28/2012,6.2,6.2,6.2,6.2,6.2,0
11/29/2012,6.2,6.2,6.2,6.2,6.2,0
11/30/2012,6.2,6.2,6.2,6.2,6.2,0
12/3/2012,6.2,6.2,6.2,6.2,6.2,0
12/4/2012,6.2,6.2,6.2,6.2,6.2,0
12/5/2012,6.2,6.2,6.2,6.2,6.2,0
12/6/2012,6.2,6.2,6.2,6.2,6.2,0
12/7/2012,6.2,6.2,6.2,6.2,6.2,0
12/10/2012,6.2,6.2,6.2,6.2,6.2,0
12/11/2012,6.2,6.2,6.2,6.2,6.2,0
12/12/2012,6.2,6.2,6.2,6.2,6.2,0
12/13/2012,6.2,6.2,6.2,6.2,6.2,0
12/14/2012,6.2,6.2,6.2,6.2,6.2,0
12/17/2012,6.2,6.2,6.2,6.2,6.2,0
12/18/2012,6.35,6.35,6.35,6.35,6.35,300
12/19/2012,6.35,6.35,6.35,6.35,6.35,0
12/20/2012,6.35,6.35,6.35,6.35,6.35,0
12/21/2012,6.35,6.35,6.35,6.35,6.35,0
12/24/2012,6.25,6.25,6.25,6.25,6.25,100
12/26/2012,6.25,6.25,6.25,6.25,6.25,0
12/27/2012,6.25,6.25,6.25,6.25,6.25,0
12/28/2012,6.25,6.25,6.25,6.25,6.25,0
12/31/2012,6.25,6.25,6.25,6.25,6.25,0
1/2/2013,6.85,6.85,6.85,6.85,6.85,200
1/3/2013,6.85,6.85,6.85,6.85,6.85,0
1/4/2013,6.85,6.85,6.85,6.85,6.85,0
1/7/2013,6.59,6.59,6.56,6.56,6.56,300
1/8/2013,6.69,6.69,6.55,6.55,6.55,2200
1/9/2013,6.87,6.87,6.75,6.75,6.75,3200
1/10/2013,6.75,6.75,6.75,6.75,6.75,0
1/11/2013,6.75,6.75,6.75,6.75,6.75,0
1/14/2013,6.75,6.75,6.75,6.75,6.75,0
1/15/2013,6.75,6.75,6.75,6.75,6.75,0
1/16/2013,6.75,6.75,6.75,6.75,6.75,0
